Failed to get ticker 'CVRD' reason: Failed to perform, curl: (28) Operation timed out after 10003 milliseconds with 0 bytes received. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
Total ETFs: 1000
Batch 28: inserted 8722 rows
EDOG: 500 rows OK
EDOW: 500 rows OK
EDV: 500 rows OK
EDZ: 500 rows OK
EEE: 59 rows OK
EELV: 500 rows OK
EEM: 500 rows OK
EEMA: 500 rows OK
EEMO: 500 rows OK
EEMS: 500 rows OK
EEMV: 500 rows OK
EEMX: 500 rows OK
EES: 500 rows OK
EET: 500 rows OK
EETH: 500 rows OK
EEV: 500 rows OK
EFA: 500 rows OK
GLD: 500 rows OK
HYG: 500 rows OK
IEFA: 500 rows OK
Batch 29: inserted 9559 rows
ITOT: 500 rows OK
IVV: 500 rows OK
LQD: 500 rows OK
MMMA: 89 rows OK
MMSC: 500 rows OK
MMSD: 245 rows OK
MMTM: 500 rows OK
MNA: 500 rows OK
MNBD: 500 rows OK
MNRS: 311 rows OK
MNVT: 28 rows OK
MNZL: 108 rows OK
MOAT: 500 rows OK
MODL: 500 rows OK
MOO: 500 rows OK
MOOD: 500 rows OK
MORT: 500 rows OK
MOTG: 500 rows OK
MOTI: 500 rows OK
MOTO: 500 rows OK
Batch 30: inserted 8281 rows
MPG: 125 rows OK
MPL: 129 rows OK
MPLY: 237 rows OK
MPRO: 500 rows OK
MQQQ: 413 rows OK
MRAL: 286 rows OK
MRCP: 500 rows OK
MRGR: 500 rows OK
MRNX: 57 rows OK
MRNY: 500 rows OK
MRSK: 500 rows OK
MRVU: 51 rows OK
MSBT: 15 rows OK
MSDD: 221 rows OK
MSFD: 500 rows OK
MSFL: 500 rows OK
MSFO: 500 rows OK
MSFU: 500 rows OK
MSFW: 191 rows OK
MSFX: 500 rows OK
Batch 31: inserted 6725 rows
MSFY: 500 rows OK
MSII: 225 rows OK
MSLC: 343 rows OK
MSMR: 500 rows OK
MSOO: 177 rows OK
MSOS: 500 rows OK
MSOX: 500 rows OK
MSSM: 343 rows OK
MSSS: 500 rows OK
MSST: 109 rows OK
MST: 247 rows OK
MSTB: 500 rows OK
MSTI: 500 rows OK
MSTP: 221 rows OK
MSTQ: 500 rows OK
MSTU: 402 rows OK
MSTW: 191 rows OK
MSTX: 425 rows OK
MSTY: 500 rows OK
MSTZ: 402 rows OK
Batch 32: inserted 7585 rows
MTBA: 500 rows OK
MTGP: 500 rows OK
MTRA: 220 rows OK
MTUL: 500 rows OK
MTUM: 500 rows OK
MTYY: 149 rows OK
MUB: 500 rows OK
MUD: 380 rows OK
MULL: 363 rows OK
MULT: 165 rows OK
MUNI: 500 rows OK
MUNY: 233 rows OK
MUSE: 358 rows OK
MUSI: 500 rows OK
MUSQ: 500 rows OK
MUST: 500 rows OK
MUU: 386 rows OK
MUYY: 10 rows OK
MVAL: 500 rows OK
MVFD: 500 rows OK
Batch 33: inserted 7764 rows
MVFG: 500 rows OK
MVLL: 286 rows OK
MVPA: 500 rows OK
MVPL: 500 rows OK
MVRL: 500 rows OK
MVV: 500 rows OK
MXI: 500 rows OK
MYCF: 398 rows OK
MYCG: 398 rows OK
MYCH: 398 rows OK
MYCI: 398 rows OK
MYCJ: 398 rows OK
MYCK: 398 rows OK
MYCL: 397 rows OK
MYCM: 398 rows OK
MYCN: 398 rows OK
MYCO: 153 rows OK
MYHA: 41 rows OK
