Total ETFs: 1000
Batch 32: upserted 7638 rows
MTBA:501 rows fetched
MTGP:501 rows fetched
MTRA:224 rows fetched
MTUL:501 rows fetched
MTUM:501 rows fetched
MTYY:153 rows fetched
MUB:502 rows fetched
MUD:384 rows fetched
MULL:367 rows fetched
MULT:170 rows fetched
MUNI:502 rows fetched
MUNY:237 rows fetched
MUSE:362 rows fetched
MUSI:502 rows fetched
MUSQ:501 rows fetched
MUST:502 rows fetched
MUU:390 rows fetched
MUYY:14 rows fetched
MVAL:501 rows fetched
MVFD:501 rows fetched
UPSERT ERR: Out of range float values are not JSON compliant
UPSERT ERR: Out of range float values are not JSON compliant
UPSERT ERR: Out of range float values are not JSON compliant
UPSERT ERR: Out of range float values are not JSON compliant
Batch 33: upserted 7816 rows
MVFG:501 rows fetched
MVLL:290 rows fetched
MVPA:501 rows fetched
MVPL:501 rows fetched
MVRL:501 rows fetched
MVV:501 rows fetched
MXI:501 rows fetched
MYCF:402 rows fetched
MYCG:402 rows fetched
MYCH:402 rows fetched
MYCI:402 rows fetched
MYCJ:402 rows fetched
MYCK:402 rows fetched
MYCL:402 rows fetched
MYCM:402 rows fetched
MYCN:402 rows fetched
