Total ETFs: 1000
  INSERT ERROR for MSFY: 400 {"code":"PGRST102","details":null,"hint":null,"message":"Empty or invalid json"}
  -> Inserted 7084 rows (32/50 batches, 741s elapsed)
  [33/50] MTBA... 501 rows
  [33/50] MTGP... 502 rows
  [33/50] MTRA... 219 rows
  [33/50] MTUL... 501 rows
  [33/50] MTUM... 501 rows
  [33/50] MTYY... 148 rows
  [33/50] MUB... 501 rows
  [33/50] MUD... 379 rows
  [33/50] MULL... 362 rows
  [33/50] MULT... 165 rows
  [33/50] MUNI... 501 rows
  [33/50] MUNY... 232 rows
  [33/50] MUSE... 357 rows
  [33/50] MUSI... 501 rows
  [33/50] MUSQ... 501 rows
  [33/50] MUST... 501 rows
  [33/50] MUU... 385 rows
  [33/50] MUYY... 9 rows
  [33/50] MVAL... 501 rows
  [33/50] MVFD... 501 rows
  INSERT ERROR for MTGP: 400 {"code":"PGRST102","details":null,"hint":null,"message":"Empty or invalid json"}
  -> Inserted 7268 rows (33/50 batches, 765s elapsed)
  [34/50] MVFG... 501 rows
  [34/50] MVLL... 285 rows
  [34/50] MVPA... 501 rows
  [34/50] MVPL... 501 rows
  [34/50] MVRL... 501 rows
  [34/50] MVV... 501 rows
  [34/50] MXI... 501 rows
  [34/50] MYCF... 397 rows
  [34/50] MYCG... 397 rows
  [34/50] MYCH... 397 rows
  [34/50] MYCI... 397 rows
  [34/50] MYCJ... 397 rows
  [34/50] MYCK... 397 rows
  [34/50] MYCL... 397 rows
  [34/50] MYCM... 397 rows
  [34/50] MYCN... 397 rows
  [34/50] MYCO... 152 rows
  [34/50] MYHA... 41 rows
  [34/50] MYHB... 41 rows
  [34/50] MYHC... 41 rows
  -> Inserted 7139 rows (34/50 batches, 807s elapsed)
  [35/50] MYHD... 41 rows
  [35/50] MYHE... 41 rows
  [35/50] MYLD... 501 rows
  [35/50] MYMF... 397 rows
  [35/50] MYMG... 397 rows
  [35/50] MYMH... 397 rows
  [35/50] MYMI... 397 rows
  [35/50] MYMJ... 397 rows
  [35/50] MYMK... 152 rows
  [35/50] MYY... 501 rows
  [35/50] MZZ... 501 rows
  [35/50] NACP... 501 rows
  [35/50] NAIL... 501 rows
  [35/50] NANC... 501 rows
  [35/50] NANR... 501 rows
  [35/50] NAPR... 501 rows
  [35/50] NATO... 384 rows
  [35/50] NAUG... 434 rows
  [35/50] NBCE... 501 rows
  [35/50] NBCM... 501 rows
  -> Inserted 8047 rows (35/50 batches, 844s elapsed)
  [36/50] NBCR... 434 rows
  [36/50] NBDS... 501 rows
  [36/50] NBET... 501 rows
  [36/50] NBFC... 460 rows
  [36/50] NBGX... 336 rows
  [36/50] NBIE... 34 rows
  [36/50] NBIG... 124 rows
  [36/50] NBIL... 138 rows
  [36/50] NBIZ... 65 rows
  [36/50] NBJP... 405 rows
  [36/50] NBOS... 501 rows
  [36/50] NBSD... 461 rows
  [36/50] NBSM... 501 rows
  [36/50] NBTR... 337 rows
  [36/50] NCIQ... 299 rows
  [36/50] NCLO... 342 rows
  [36/50] NCPB... 501 rows
  [36/50] NDAA... 379 rows
  [36/50] NDEC... 349 rows
  [36/50] NDIA... 501 rows
  -> Inserted 7169 rows (36/50 batches, 867s elapsed)
  [37/50] NDIV... 501 rows
  [37/50] NDOW... 488 rows
  [37/50] NEAR... 501 rows
  [37/50] NEBX... 158 rows
  [37/50] NEHI... 98 rows
