
ETF Sparkline Backfill
  Supabase: https://oqkobptbvcazifpvjwfz.supabase.co
  Period: 2y | Interval: 1d
  Batch size: 20 | Fetch delay: 0.5s

Found 1000 ETFs in foreign_etfs table

  [15/50] DDFD... 97 rows ✓
  [15/50] DDFF... 56 rows ✓
  [15/50] DDFJ... 76 rows ✓
  [15/50] DDFL... 204 rows ✓
  [15/50] DDFM... 37 rows ✓
  [15/50] DDFN... 117 rows ✓
  → Inserted 6712 rows into foreign_etf_prices

  [16/50] DDFO... 140 rows ✓
  [16/50] DDFS... 161 rows ✓
  [16/50] DDIV... 502 rows ✓
  [16/50] DDLS... 502 rows ✓
  [16/50] DDM... 502 rows ✓
  [16/50] DDNQ... 76 rows ✓
  [16/50] DDSQ... 76 rows ✓
  [16/50] DDTA... 15 rows ✓
  [16/50] DDTD... 97 rows ✓
  [16/50] DDTF... 56 rows ✓
  [16/50] DDTJ... 76 rows ✓
  [16/50] DDTL... 204 rows ✓
  [16/50] DDTM... 37 rows ✓
  [16/50] DDTN... 117 rows ✓
  [16/50] DDTO... 140 rows ✓
  [16/50] DDTS... 161 rows ✓
  [16/50] DDV... 109 rows ✓
  [16/50] DDWM... 502 rows ✓
  [16/50] DDX... 502 rows ✓
  [16/50] DDXX... 109 rows ✓
  → Inserted 4084 rows into foreign_etf_prices

  [17/50] DECM... 332 rows ✓
  [17/50] DECO... 405 rows ✓
  [17/50] DECP... 465 rows ✓
  [17/50] DECT... 502 rows ✓
  [17/50] DECU... 347 rows ✓
  [17/50] DECW... 502 rows ✓
  [17/50] DECZ... 502 rows ✓
  [17/50] DEED... 502 rows ✓
  [17/50] DEEF... 502 rows ✓
  [17/50] DEEP... 502 rows ✓
  [17/50] DEFI... 502 rows ✓
  [17/50] DEFR... 236 rows ✓
  [17/50] DEHP... 502 rows ✓
  [17/50] DEM... 502 rows ✓
  [17/50] DEMZ... 502 rows ✓
  [17/50] DES... 502 rows ✓
  [17/50] DESK... 502 rows ✓
  [17/50] DEUS... 502 rows ✓
  [17/50] DEW... 502 rows ✓
  [17/50] DEXC... 358 rows ✓
  → Inserted 9171 rows into foreign_etf_prices

  [18/50] DFAC... 502 rows ✓
  [18/50] DFAE... 502 rows ✓
  [18/50] DFAI... 502 rows ✓
  [18/50] DFAR... 502 rows ✓
  [18/50] DFAS... 502 rows ✓
  [18/50] DFAT... 502 rows ✓
  [18/50] DFAU... 502 rows ✓
  [18/50] DFAW... 502 rows ✓
  [18/50] DFAX... 502 rows ✓
  [18/50] DFCA... 502 rows ✓
  [18/50] DFCF... 502 rows ✓
  [18/50] DFE... 502 rows ✓
  [18/50] DFEB... 502 rows ✓
  [18/50] DFEM... 502 rows ✓
  [18/50] DFEN... 502 rows ✓
  [18/50] DFEV... 502 rows ✓
  [18/50] DFGP... 502 rows ✓
  [18/50] DFGR... 502 rows ✓
  [18/50] DFGX... 502 rows ✓
  [18/50] DFIC... 502 rows ✓
  → Inserted 10040 rows into foreign_etf_prices

  [19/50] DFII... 264 rows ✓
  [19/50] DFIP... 502 rows ✓
  [19/50] DFIS... 502 rows ✓
  [19/50] DFIV... 502 rows ✓
  [19/50] DFJ... 502 rows ✓
  [19/50] DFLV... 502 rows ✓
  [19/50] DFNL... 502 rows ✓
  [19/50] DFNM... 502 rows ✓
  [19/50] DFSB... 502 rows ✓
  [19/50] DFSD... 502 rows ✓
  [19/50] DFSE... 502 rows ✓
  [19/50] DFSI... 502 rows ✓
  [19/50] DFSU... 502 rows ✓
  [19/50] DFSV... 502 rows ✓
  [19/50] DFUS... 502 rows ✓
  [19/50] DFUV... 502 rows ✓
  [19/50] DFVE... 502 rows ✓
  [19/50] DFVX... 502 rows ✓
  [19/50] DGAP... 2 rows ✓
  [19/50] DGCB... 502 rows ✓
  → Inserted 9302 rows into foreign_etf_prices

  [20/50] DGIN... 502 rows ✓
  [20/50] DGJA... 65 rows ✓
  [20/50] DGLO... 178 rows ✓
  [20/50] DGOC... 127 rows ✓
  [20/50] DGRE... 502 rows ✓
  [20/50] DGRO... 502 rows ✓
  [20/50] DGRS... 502 rows ✓
  [20/50] DGRW... 502 rows ✓
  [20/50] DGS... 502 rows ✓
  [20/50] DGT... 502 rows ✓
  [20/50] DHDG... 376 rows ✓
  [20/50] DHLX... 142 rows ✓
  [20/50] DHS... 502 rows ✓
  [20/50] DHSB... 291 rows ✓
  [20/50] DIA... 502 rows ✓
  [20/50] DIAL... 502 rows ✓
  [20/50] DIEM... 502 rows ✓
  [20/50] DIG... 502 rows ✓
  [20/50] DIHP... 502 rows ✓
  [20/50] DIM... 502 rows ✓
  → Inserted 8207 rows into foreign_etf_prices

  [21/50] DIME... 136 rows ✓
  [21/50] DINT... 502 rows ✓
  [21/50] DIPS... 438 rows ✓
  [21/50] DISO... 502 rows ✓
  [21/50] DISV... 502 rows ✓
  [21/50] DIV... 502 rows ✓
  [21/50] DIVB... 502 rows ✓
  [21/50] DIVD... 502 rows ✓
  [21/50] DIVG... 502 rows ✓
  [21/50] DIVI... 502 rows ✓
  [21/50] DIVL... 502 rows ✓
  [21/50] DIVN... 207 rows ✓
